Type,Location,Store,Lat,Long,Area,SatArea
Countdown,Papakura,Countdown Papakura,-37.06390487,174.9447236,SouthEast,South
Countdown,Roselands,Countdown Roselands,-37.0589478,174.9414297,SouthEast,South
Countdown,Takanini,Countdown Takanini,-37.04764284,174.9279243,SouthEast,South
Countdown,Manurewa,Countdown Manurewa,-37.01734442,174.8651097,SouthEast,South
Countdown,Airport,Countdown Airport,-36.99736985,174.7888823,South,South
Countdown,Manukau Mall,Countdown Manukau Mall,-36.99174967,174.8831931,SouthEast,South
Countdown,Manukau,Countdown Manukau,-36.98676855,174.8848148,SouthEast,South
Countdown,Papatoetoe,Countdown Papatoetoe,-36.97039494,174.862111,SouthEast,South
Countdown,Mangere Mall,Countdown Mangere Mall,-36.96987802,174.8011202,South,South
Countdown,Mangere East,Countdown Mangere East,-36.9657908,174.825346,South,South
Countdown,Botany Downs,Countdown Botany Downs,-36.92972626,174.9110718,East,East
Countdown,Lynfield,Countdown Lynfield,-36.92514077,174.7239957,West,West
Countdown,Blockhouse Bay,Countdown Blockhouse Bay,-36.92291876,174.7023521,West,West
Countdown,Onehunga,Countdown Onehunga,-36.92249969,174.7838024,South,South
Countdown,Sylvia Park,Countdown Sylvia Park,-36.91713855,174.8418202,South,East
Countdown,Meadowlands,Countdown Meadowlands,-36.9132518,174.929465,East,East
Countdown,Pakuranga,Countdown Pakuranga,-36.91284146,174.8714299,East,East
Countdown,Kelston,Countdown Kelston,-36.90955497,174.6638042,West,West
Countdown,Mt Wellington,Countdown Mt Wellington,-36.9093147,174.837989,South,East
Countdown,Three Kings,Countdown Three Kings,-36.90796057,174.7559072,South,City
Countdown,Lynmall,Countdown Lynmall,-36.90687152,174.6850146,West,West
Countdown,Mt Roskill,Countdown Mt Roskill,-36.90203359,174.7356996,West,City
Countdown,Highland Park,Countdown Highland Park,-36.89933061,174.9084309,East,East
Countdown,Aviemore Drive,Countdown Aviemore Drive,-36.89887827,174.9065699,East,East
Countdown,Howick,Countdown Howick,-36.89585201,174.9335377,East,East
Countdown,Greenlane,Countdown Greenlane,-36.88916156,174.7935037,South,East
Countdown,St Lukes,Countdown St Lukes,-36.88336862,174.7347459,West,City
Countdown,Henderson,Countdown Henderson,-36.88089456,174.6332277,NorthWest,West
Countdown Metro,Albert Street,Countdown Metro Albert Street,-36.84350157,174.7658662,City,None
Countdown Metro,Halsey Street,Countdown Metro Halsey Street,-36.84358106,174.7578066,City,None
Countdown,St Johns,Countdown St Johns,-36.87888192,174.8548393,East,East
Countdown,Mt Eden,Countdown Mt Eden,-36.87718131,174.7523352,City,City
Countdown,Meadowbank,Countdown Meadowbank,-36.87610706,174.8289359,East,East
Countdown,Newmarket,Countdown Newmarket,-36.8705446,174.7754093,City,City
Countdown,Pt Chevalier,Countdown Pt Chevalier,-36.86957431,174.7105595,West,City
Countdown,Te Atatu South,Countdown Te Atatu South,-36.86472278,174.6476292,NorthWest,West
Countdown,Grey Lynn Central,Countdown Grey Lynn Central,-36.86311836,174.7385667,City,City
Countdown,Ponsonby,Countdown Ponsonby,-36.8584399,174.7491386,City,City
Countdown,Lincoln Road,Countdown Lincoln Road,-36.8568778,174.6325126,NorthWest,West
Countdown,Grey Lynn,Countdown Grey Lynn,-36.85144346,174.7318719,City,City
Countdown,Victoria Street West,Countdown Victoria Street West,-36.84853355,174.7648512,City,City
Countdown,Auckland City,Countdown Auckland City,-36.84496186,174.7731192,City,City
Countdown,Te Atatu,Countdown Te Atatu,-36.84209292,174.6542381,NorthWest,West
Countdown,Westgate,Countdown Westgate,-36.82092949,174.6146464,NorthWest,West
Countdown,Northwest,Countdown Northwest,-36.81879206,174.6129291,NorthWest,West
Countdown,Birkenhead,Countdown Birkenhead,-36.81111802,174.7248776,North,North
Countdown,Northcote,Countdown Northcote,-36.80035237,174.7455338,North,North
Countdown,Hobsonville,Countdown Hobsonville,-36.79748845,174.6487257,NorthWest,West
Countdown,Hauraki Corner,Countdown Hauraki Corner,-36.79667981,174.7781249,North,North
Countdown,Takapuna,Countdown Takapuna,-36.79125414,174.7662056,North,North
Countdown,Glenfield,Countdown Glenfield,-36.78148813,174.7234262,North,North
Countdown,Milford,Countdown Milford,-36.77197217,174.7666177,North,North
Countdown,Sunnynook,Countdown Sunnynook,-36.75907026,174.7406941,North,North
Countdown,Mairangi Bay,Countdown Mairangi Bay,-36.73941255,174.7540551,North,North
Countdown,Browns Bay,Countdown Browns Bay,-36.71714479,174.7472772,North,North
Distribution Centre,Auckland,Distribution Centre Auckland,-36.94904179,174.8080123,,
FreshChoice,Glen Eden,FreshChoice Glen Eden,-36.91087436,174.6545496,West,None
FreshChoice,Half Moon Bay,FreshChoice Half Moon Bay,-36.88106607,174.9002827,East,None
FreshChoice,Mangere Bridge,FreshChoice Mangere Bridge,-36.94250829,174.7869875,South,None
FreshChoice,Otahuhu,FreshChoice Otahuhu,-36.94480584,174.8431184,South,None
FreshChoice,Ranui,FreshChoice Ranui,-36.86353948,174.6015834,NorthWest,None
SuperValue,Avondale,SuperValue Avondale,-36.89776863,174.69741,West,None
SuperValue,Flatbush,SuperValue Flatbush,-36.97676671,174.8972267,SouthEast,None
SuperValue,Palomino,SuperValue Palomino,-36.88287566,174.6161793,NorthWest,None
SuperValue,Papakura,SuperValue Papakura,-37.06606311,174.9556975,SouthEast,None
SuperValue,Titirangi,SuperValue Titirangi,-36.93739048,174.6572984,West,None
